DateTime,GooseTemp,GooseTempHex,GooseCapHex,GooseTPM,DuckbillTemp,DuckbillCap,DuckbillTPM
2025-11-08 15:48:00,23.84,BB9970,CCF024,9.86,24.000,27.178,726.05
2025-11-08 15:48:01,23.85,BB98AA,CCF2CE,9.95,23.625,27.184,714.61
2025-11-08 15:48:02,23.84,BB9964,CCF187,9.90,23.750,27.178,713.21
2025-11-08 15:48:03,23.83,BB99FA,CCF135,9.88,24.000,27.186,737.41
2025-11-08 15:48:04,23.84,BB9936,CCF00B,9.86,24.000,27.180,729.63
2025-11-08 15:48:05,23.85,BB98E2,CCF0A2,9.88,23.750,27.189,727.46
2025-11-08 15:48:06,23.85,BB9908,CCF23F,9.93,23.750,27.183,719.23
2025-11-08 15:48:07,23.84,BB9947,CCF22D,9.92,23.500,27.186,709.74
2025-11-08 15:48:08,23.84,BB9955,CCF1FC,9.91,23.875,27.183,725.96
2025-11-08 15:48:09,23.84,BB996A,CCF0B3,9.88,23.625,27.181,710.52
2025-11-08 15:48:10,23.85,BB98AA,CCEF6B,9.86,23.875,27.178,719.66
2025-11-08 15:48:11,23.84,BB9924,CCEE60,9.82,23.000,27.185,681.25
2025-11-08 15:48:12,23.85,BB9913,CCF1FB,9.92,23.750,27.185,722.07
2025-11-08 15:48:13,23.85,BB98A0,CCEECC,9.84,23.750,27.185,722.53
2025-11-08 15:48:14,23.85,BB98BC,CCF0E0,9.89,23.625,27.185,716.02
2025-11-08 15:48:15,23.85,BB98D4,CCF3F1,9.97,23.875,27.170,708.77
2025-11-08 15:48:16,23.84,BB9927,CCF2F3,9.94,23.750,27.187,725.51
2025-11-08 15:48:18,23.85,BB98A7,CCEDEE,9.82,23.875,27.183,726.40
2025-11-08 15:48:19,23.86,BB9868,CCEED7,9.84,23.750,27.185,722.03
2025-11-08 15:48:20,23.85,BB98E2,CCEEE9,9.84,23.750,27.174,707.93
2025-11-08 15:48:21,23.87,BB97D5,CCF107,9.91,24.000,27.181,730.42
2025-11-08 15:48:22,23.86,BB9871,CCF0A8,9.89,23.875,27.181,722.91
2025-11-08 15:48:23,23.85,BB98E3,CCF167,9.91,23.875,27.185,729.20
2025-11-08 15:48:24,23.87,BB97F2,CCEF85,9.87,24.125,27.180,735.11
2025-11-08 15:48:25,23.86,BB980A,CCEEC0,9.85,23.750,27.168,699.52
2025-11-08 15:48:26,23.87,BB97EF,CCF08A,9.90,23.625,27.183,712.53
2025-11-08 15:48:27,23.85,BB98B7,CCF000,9.87,23.625,27.183,712.76
2025-11-08 15:48:28,23.87,BB97FD,CCF204,9.94,23.875,27.179,721.60
2025-11-08 15:48:29,23.86,BB9829,CCEFB5,9.87,23.625,27.183,713.05
2025-11-08 15:48:30,23.87,BB97EA,CCEEA4,9.85,23.750,27.179,714.05
2025-11-08 15:48:31,23.86,BB9855,CCF22A,9.93,23.875,27.178,719.69
2025-11-08 15:48:32,23.86,BB983B,CCEE49,9.83,23.750,27.182,718.08
2025-11-08 15:48:33,23.87,BB97FD,CCF45C,10.00,23.875,27.176,717.03
2025-11-08 15:48:34,23.85,BB98AB,CCEDBA,9.81,23.625,27.174,701.01
2025-11-08 15:48:35,23.86,BB982F,CCF0EC,9.90,23.875,27.182,725.65
2025-11-08 15:48:36,23.87,BB9780,CCEF29,9.87,23.375,27.176,690.48
2025-11-08 15:48:37,23.86,BB9845,CCEF45,9.86,23.750,27.185,722.61
2025-11-08 15:48:38,23.86,BB985A,CCEFF5,9.87,23.750,27.181,716.41
2025-11-08 15:48:39,23.88,BB96F7,CCF17F,9.94,23.750,27.175,709.39
2025-11-08 15:48:40,23.86,BB9809,CCEB88,9.76,23.500,27.182,704.18
2025-11-08 15:48:41,23.87,BB9787,CCF0D7,9.91,23.875,27.179,720.85
2025-11-08 15:48:42,23.86,BB983E,CCEE4E,9.83,23.875,27.181,724.06
2025-11-08 15:48:43,23.88,BB96F6,CCEFAD,9.89,23.750,27.181,717.61
2025-11-08 15:48:44,23.87,BB97A8,CCEF39,9.87,23.750,27.177,711.68
2025-11-08 15:48:45,23.87,BB97D4,CCF00C,9.89,23.750,27.180,715.24
2025-11-08 15:48:46,23.87,BB97AB,CCEE0C,9.83,23.875,27.174,714.57
2025-11-08 15:48:47,23.88,BB9771,CCEFE6,9.89,23.875,27.177,718.36
2025-11-08 15:48:48,23.87,BB9777,CCEDCB,9.83,23.875,27.174,713.64
2025-11-08 15:48:49,23.86,BB9846,CCF076,9.89,23.750,27.180,714.92
2025-11-08 15:48:50,23.87,BB97B8,CCEFDB,9.88,23.750,27.173,706.07
2025-11-08 15:48:51,23.88,BB970F,CCEEE0,9.87,23.375,27.176,690.38
2025-11-08 15:48:52,23.88,BB9743,CCEE5F,9.85,23.625,27.174,700.99
2025-11-08 15:48:53,23.88,BB9704,CCEF40,9.88,23.625,27.174,701.40
2025-11-08 15:48:54,23.88,BB96ED,CCEFBA,9.89,23.625,27.176,703.70
2025-11-08 15:48:55,23.88,BB974D,CCF03F,9.90,23.875,27.179,720.92
2025-11-08 15:48:56,23.89,BB96E0,CCF300,9.98,23.750,27.187,725.50
2025-11-08 15:48:57,23.88,BB9722,CCF0A3,9.91,23.875,27.181,723.71
2025-11-08 15:48:58,23.87,BB97CA,CCEE59,9.84,23.875,27.177,718.85
2025-11-08 15:48:59,23.89,BB969E,CCF0C9,9.92,23.625,27.175,702.04
2025-11-08 15:49:00,23.88,BB96FA,CCF056,9.91,23.750,27.177,711.92
2025-11-08 15:49:01,23.90,BB964B,CCEF27,9.89,23.750,27.183,719.73
2025-11-08 15:49:02,23.88,BB9755,CCEF92,9.88,23.625,27.178,706.22
2025-11-08 15:49:03,23.88,BB9702,CCF11F,9.93,23.750,27.178,712.69
2025-11-08 15:49:04,23.89,BB9691,CCEE6F,9.86,23.625,27.175,702.60
2025-11-08 15:49:05,23.86,BB983E,CCF024,9.88,23.875,27.180,722.34
2025-11-08 15:49:06,23.88,BB9706,CCEDFD,9.84,23.875,27.175,714.93
2025-11-08 15:49:07,23.88,BB9729,CCF088,9.91,23.875,27.178,719.86
2025-11-08 15:49:08,23.89,BB96E5,CCEFB7,9.89,23.750,27.181,716.45
2025-11-08 15:49:09,23.88,BB96FB,CCEF67,9.88,23.750,27.182,718.08
2025-11-08 15:49:10,23.89,BB966B,CCF079,9.92,23.500,27.179,701.14
2025-11-08 15:49:11,23.88,BB973F,CCF261,9.96,23.750,27.176,710.43
2025-11-08 15:49:12,23.90,BB9620,CCEFFC,9.91,23.875,27.174,714.61
2025-11-08 15:49:13,23.88,BB9705,CCF2D6,9.97,23.875,27.175,715.48
2025-11-08 15:49:14,23.89,BB9672,CCEDA0,9.84,23.500,27.178,699.87
2025-11-08 15:49:15,23.89,BB9677,CCF130,9.94,23.875,27.181,723.60
2025-11-08 15:49:16,23.90,BB9608,CCEEA1,9.88,23.750,27.181,716.44
2025-11-08 15:49:17,23.90,BB95EB,CCEE5A,9.87,23.875,27.177,718.89
2025-11-08 15:49:18,23.89,BB968D,CCF046,9.91,23.875,27.176,716.53
2025-11-08 15:49:19,23.88,BB96F6,CCF048,9.91,23.875,27.182,725.44
2025-11-08 15:49:20,23.91,BB95BC,CCF057,9.93,23.750,27.175,708.35
2025-11-08 15:49:21,23.90,BB95F8,CCEEC1,9.88,23.875,27.180,722.43
2025-11-08 15:49:22,23.90,BB9653,CCEF8C,9.90,23.750,27.177,711.52
2025-11-08 15:49:23,23.92,BB951C,CCEFCE,9.92,23.875,27.176,716.56
2025-11-08 15:49:24,23.89,BB9671,CCEF75,9.89,23.875,27.175,715.33
2025-11-08 15:49:25,23.88,BB9703,CCEF83,9.88,23.625,27.171,696.28
2025-11-08 15:49:26,23.89,BB9684,CCF001,9.90,23.875,27.177,718.83
2025-11-08 15:49:27,23.92,BB9534,CCEF1A,9.90,24.125,27.173,726.41
2025-11-08 15:49:28,23.91,BB9564,CCF006,9.92,24.000,27.174,720.91
2025-11-08 15:49:29,23.88,BB9728,CCF026,9.90,23.500,27.177,698.09
2025-11-08 15:49:30,23.90,BB95D8,CCF033,9.92,23.750,27.178,713.07
2025-11-08 15:49:31,23.91,BB95CA,CCEE1C,9.87,23.500,27.181,702.93
2025-11-08 15:49:32,23.88,BB973F,CCEF80,9.88,23.750,27.174,707.71
2025-11-08 15:49:33,23.88,BB9720,CCEF6E,9.88,23.875,27.175,715.53
2025-11-08 15:49:34,23.89,BB968D,CCEE87,9.86,24.000,27.170,715.49
2025-11-08 15:49:35,23.90,BB964D,CCEFDE,9.90,23.875,27.175,716.09
2025-11-08 15:49:36,23.91,BB95CD,CCF059,9.93,23.625,27.180,708.66
2025-11-08 15:49:37,23.90,BB95FF,CCEF8A,9.90,23.625,27.182,711.70
2025-11-08 15:49:38,23.86,BB9804,CCF07E,9.89,23.875,27.178,719.24
2025-11-08 15:49:39,23.92,BB9537,CCEEF4,9.90,23.875,27.171,710.44
2025-11-08 15:49:40,23.91,BB9580,CCEF65,9.90,24.000,27.174,720.65
2025-11-08 15:49:41,23.88,BB9720,CCEDFD,9.84,23.875,27.180,722.10
2025-11-08 15:49:42,23.94,BB93C7,CCEF5C,9.93,23.750,27.185,722.36
2025-11-08 15:49:43,23.91,BB95B8,CCEEE0,9.89,24.000,27.180,728.44
2025-11-08 15:49:44,23.90,BB95E3,CCF06C,9.93,24.125,27.179,734.87
2025-11-08 15:49:45,23.91,BB95BD,CCEEB5,9.88,23.625,27.172,698.27
2025-11-08 15:49:46,23.89,BB966B,CCEDB5,9.84,23.750,27.172,704.76
2025-11-08 15:49:47,23.87,BB977D,CCEDD8,9.83,23.750,27.172,704.94
2025-11-08 15:49:48,23.90,BB963B,CCF019,9.91,23.625,27.184,713.97
2025-11-08 15:49:49,23.89,BB9694,CCEF1D,9.88,23.875,27.167,705.45
2025-11-08 15:49:50,23.89,BB96DC,CCEEE6,9.87,23.750,27.169,700.77
2025-11-08 15:49:51,23.89,BB9664,CCEEEF,9.88,23.750,27.174,707.99
2025-11-08 15:49:52,23.90,BB963A,CCEF5A,9.89,23.875,27.179,720.78
2025-11-08 15:49:53,23.93,BB945F,CCEFFD,9.94,23.625,27.169,693.88
2025-11-08 15:49:54,23.90,BB95EA,CCEE89,9.87,23.750,27.171,703.96
2025-11-08 15:49:55,23.90,BB9633,CCEE56,9.86,23.875,27.167,705.38
2025-11-08 15:49:56,23.89,BB967E,CCEDF9,9.85,23.875,27.173,712.86
2025-11-08 15:49:57,23.90,BB95EF,CCEE81,9.87,23.625,27.168,692.74
2025-11-08 15:49:58,23.91,BB9555,CCF085,9.94,23.750,27.173,706.62
2025-11-08 15:49:59,23.88,BB9768,CCEF3C,9.87,23.750,27.168,699.99
2025-11-08 15:50:00,23.89,BB9672,CCEEE9,9.88,23.625,27.172,698.77
2025-11-08 15:50:01,23.88,BB975D,CCEF03,9.86,23.875,27.168,705.57
2025-11-08 15:50:02,23.89,BB96E0,CCEF10,9.87,23.750,27.174,707.36
2025-11-08 15:50:03,23.92,BB94F6,CCEE50,9.88,23.750,27.179,714.63
2025-11-08 15:50:04,23.93,BB948A,CCEEC8,9.90,23.875,27.171,710.05
2025-11-08 15:50:05,23.91,BB95A4,CCEE2A,9.87,23.750,27.169,701.39
2025-11-08 15:50:06,23.94,BB9407,CCEF63,9.93,24.000,27.181,730.55
2025-11-08 15:50:07,23.92,BB94E1,CCEE9D,9.89,23.875,27.180,722.00
2025-11-08 15:50:08,23.89,BB9683,CCEE79,9.86,23.875,27.172,711.45
2025-11-08 15:50:09,23.90,BB9615,CCEE8B,9.87,23.625,27.170,695.31
