DateTime,GooseTemp,GooseTempHex,GooseCapHex,GooseTPM,DuckbillTemp,DuckbillCap,DuckbillTPM
2025-11-08 23:49:34,24.76,BB6774,CDBE90,16.26,24.750,27.125,693.40
2025-11-08 23:49:35,24.75,BB67DB,CDBE47,16.24,24.750,27.131,701.26
2025-11-08 23:49:36,24.76,BB6788,CDBE4D,16.25,24.750,27.128,696.27
2025-11-08 23:49:37,24.76,BB6770,CDBDFC,16.24,24.750,27.136,707.35
2025-11-08 23:49:38,24.76,BB678B,CDBE5A,16.25,24.500,27.129,685.55
2025-11-08 23:49:39,24.75,BB67ED,CDBE03,16.24,24.625,27.133,697.36
2025-11-08 23:49:40,24.76,BB6780,CDBE2C,16.25,24.250,27.140,688.59
2025-11-08 23:49:41,24.76,BB67A7,CDBD86,16.23,24.750,27.127,695.87
2025-11-08 23:49:42,24.75,BB67D3,CDBE47,16.24,24.750,27.132,702.53
2025-11-08 23:49:43,24.76,BB67B9,CDBD8A,16.23,24.750,27.129,698.51
2025-11-08 23:49:44,24.76,BB677E,CDBDBB,16.24,24.625,27.132,696.01
2025-11-08 23:49:45,24.76,BB67C6,CDBE20,16.24,24.500,27.136,695.58
2025-11-08 23:49:46,24.76,BB67B3,CDBDF8,16.24,24.750,27.125,693.30
2025-11-08 23:49:47,24.76,BB67C2,CDBDC6,16.23,24.500,27.132,690.24
2025-11-08 23:49:48,24.76,BB677D,CDBDC0,16.24,24.500,27.133,691.79
2025-11-08 23:49:50,24.76,BB67AA,CDBE7F,16.25,24.750,27.132,701.88
2025-11-08 23:49:51,24.76,BB67AA,CDBDEC,16.24,24.500,27.131,689.19
2025-11-08 23:49:52,24.76,BB674F,CDBDB8,16.24,24.500,27.128,684.49
2025-11-08 23:49:53,24.75,BB67E5,CDBDBF,16.23,24.750,27.130,699.85
2025-11-08 23:49:54,24.76,BB6775,CDBD5E,16.23,24.750,27.128,696.99
2025-11-08 23:49:55,24.75,BB67ED,CDBD1C,16.21,24.500,27.132,689.62
2025-11-08 23:49:56,24.76,BB6786,CDBD66,16.23,24.625,27.130,694.02
2025-11-08 23:49:57,24.76,BB67A0,CDBD04,16.21,25.000,27.131,712.70
2025-11-08 23:49:58,24.76,BB678C,CDBC9C,16.20,24.875,27.127,701.86
2025-11-08 23:49:59,24.76,BB67B0,CDBCCB,16.21,25.000,27.136,719.98
2025-11-08 23:50:00,24.75,BB67DB,CDBD54,16.22,24.375,27.127,676.75
2025-11-08 23:50:01,24.75,BB67D2,CDBCFE,16.21,24.500,27.135,693.88
2025-11-08 23:50:02,24.76,BB679A,CDBCC9,16.21,24.750,27.129,698.39
2025-11-08 23:50:03,24.76,BB67B8,CDBDA8,16.23,24.625,27.131,695.44
2025-11-08 23:50:04,24.76,BB67C1,CDBCCF,16.21,24.750,27.129,698.29
2025-11-08 23:50:05,24.76,BB675C,CDBCE2,16.21,24.500,27.130,687.44
2025-11-08 23:50:06,24.76,BB6779,CDBCDE,16.21,24.750,27.128,696.46
2025-11-08 23:50:07,24.76,BB6766,CDBCB7,16.21,24.750,27.121,687.41
2025-11-08 23:50:08,24.76,BB675C,CDBD44,16.23,24.500,27.128,684.17
2025-11-08 23:50:09,24.76,BB67BD,CDBD66,16.22,24.750,27.127,695.16
2025-11-08 23:50:10,24.76,BB6786,CDBCA7,16.21,24.875,27.130,706.09
2025-11-08 23:50:11,24.76,BB6776,CDBD4F,16.22,24.500,27.127,683.10
2025-11-08 23:50:12,24.76,BB678F,CDBC90,16.20,24.625,27.130,693.66
2025-11-08 23:50:13,24.77,BB673B,CDBD09,16.22,24.750,27.128,696.64
2025-11-08 23:50:14,24.76,BB67A4,CDBC9F,16.20,24.750,27.126,694.63
2025-11-08 23:50:15,24.76,BB6768,CDBCE7,16.21,24.625,27.131,695.14
2025-11-08 23:50:16,24.77,BB672B,CDBD0F,16.22,24.750,27.132,702.71
2025-11-08 23:50:17,24.77,BB6726,CDBC3D,16.20,24.375,27.134,686.19
2025-11-08 23:50:18,24.77,BB6729,CDBD43,16.23,24.500,27.129,685.87
2025-11-08 23:50:19,24.76,BB6770,CDBCB9,16.21,24.500,27.129,685.65
2025-11-08 23:50:20,24.76,BB6748,CDBC12,16.19,24.500,27.133,691.42
2025-11-08 23:50:21,24.76,BB675A,CDBD47,16.23,24.500,27.139,699.52
2025-11-08 23:50:22,24.76,BB675C,CDBCF2,16.22,24.750,27.136,707.14
2025-11-08 23:50:23,24.76,BB67A5,CDBCDD,16.21,24.500,27.127,682.80
2025-11-08 23:50:24,24.77,BB673A,CDBC0F,16.19,24.875,27.132,707.83
2025-11-08 23:50:25,24.77,BB66F3,CDBC0D,16.20,24.625,27.132,696.52
2025-11-08 23:50:26,24.77,BB673F,CDBD62,16.23,24.750,27.132,702.31
2025-11-08 23:50:27,24.77,BB66F5,CDBD52,16.23,24.625,27.132,695.65
2025-11-08 23:50:28,24.77,BB66E3,CDBCCC,16.22,24.875,27.126,700.97
2025-11-08 23:50:29,24.77,BB6731,CDBBD3,16.19,24.750,27.132,702.53
2025-11-08 23:50:30,24.77,BB671A,CDBCBF,16.22,24.750,27.129,698.50
2025-11-08 23:50:31,24.77,BB6706,CDBD0F,16.22,24.750,27.129,698.15
2025-11-08 23:50:32,24.77,BB66DE,CDBC7A,16.21,24.875,27.134,710.98
2025-11-08 23:50:33,24.77,BB670C,CDBBF1,16.19,24.875,27.131,707.57
2025-11-08 23:50:34,24.77,BB66C7,CDBBF6,16.20,24.625,27.129,691.78
2025-11-08 23:50:35,24.77,BB66E4,CDBC2B,16.20,24.625,27.128,691.45
2025-11-08 23:50:36,24.77,BB66ED,CDBC43,16.20,24.500,27.138,697.56
2025-11-08 23:50:37,24.77,BB66D2,CDBBB7,16.19,24.625,27.130,694.06
2025-11-08 23:50:38,24.77,BB66BE,CDBC15,16.20,24.500,27.136,695.25
2025-11-08 23:50:39,24.77,BB66DF,CDBBFA,16.20,24.625,27.132,696.32
2025-11-08 23:50:40,24.77,BB66D8,CDBC47,16.21,24.500,27.131,689.11
2025-11-08 23:50:41,24.77,BB66D8,CDBC75,16.21,24.750,27.125,692.51
2025-11-08 23:50:42,24.77,BB66E6,CDBC1A,16.20,24.750,27.132,702.32
2025-11-08 23:50:43,24.77,BB66BC,CDBBD8,16.20,24.750,27.131,700.59
2025-11-08 23:50:44,24.77,BB66D3,CDBC20,16.20,24.750,27.127,695.47
2025-11-08 23:50:45,24.78,BB66A3,CDBC52,16.21,24.750,27.132,702.98
2025-11-08 23:50:46,24.78,BB664A,CDBB51,16.19,24.500,27.128,684.19
2025-11-08 23:50:47,24.78,BB6671,CDBB3F,16.19,24.875,27.133,710.13
2025-11-08 23:50:48,24.78,BB6690,CDBC52,16.21,24.875,27.135,712.98
2025-11-08 23:50:49,24.78,BB66A6,CDBBB5,16.19,24.750,27.130,699.81
2025-11-08 23:50:50,24.78,BB6688,CDBB43,16.18,24.750,27.125,693.45
2025-11-08 23:50:51,24.78,BB6698,CDBCA4,16.22,24.625,27.131,694.19
2025-11-08 23:50:52,24.78,BB667B,CDBC1D,16.21,24.750,27.133,703.15
2025-11-08 23:50:53,24.78,BB6691,CDBB9D,16.19,24.750,27.131,700.45
2025-11-08 23:50:54,24.78,BB6664,CDBB5A,16.19,24.750,27.126,694.69
2025-11-08 23:50:55,24.78,BB6672,CDBB94,16.19,24.750,27.125,693.12
2025-11-08 23:50:56,24.78,BB667B,CDBB7C,16.19,24.750,27.124,690.98
2025-11-08 23:50:57,24.78,BB665A,CDBB35,16.19,24.750,27.132,702.10
2025-11-08 23:50:58,24.78,BB664B,CDBB84,16.20,24.750,27.129,698.34
2025-11-08 23:50:59,24.78,BB6635,CDBAF4,16.18,24.750,27.130,700.16
2025-11-08 23:51:00,24.78,BB662E,CDBB99,16.20,24.625,27.130,693.68
2025-11-08 23:51:01,24.78,BB6648,CDBB1D,16.18,24.875,27.126,700.89
2025-11-08 23:51:02,24.78,BB6643,CDBBBF,16.20,24.500,27.121,675.28
2025-11-08 23:51:03,24.78,BB6647,CDBA82,16.17,25.000,27.127,707.36
2025-11-08 23:51:04,24.78,BB663C,CDBAD6,16.18,24.500,27.130,687.78
2025-11-08 23:51:05,24.79,BB6609,CDBAD3,16.18,24.625,27.130,693.21
2025-11-08 23:51:06,24.79,BB662B,CDBBF8,16.21,24.875,27.125,698.87
2025-11-08 23:51:07,24.79,BB65DF,CDBA40,16.17,24.750,27.125,692.85
2025-11-08 23:51:08,24.78,BB662D,CDBA62,16.17,24.750,27.132,701.65
2025-11-08 23:51:09,24.79,BB65D7,CDBAFB,16.19,24.750,27.122,689.01
2025-11-08 23:51:10,24.79,BB65D8,CDBAB5,16.18,24.750,27.127,695.54
2025-11-08 23:51:11,24.79,BB6621,CDBACD,16.18,24.625,27.130,693.46
2025-11-08 23:51:12,24.79,BB6601,CDBA12,16.16,24.750,27.125,692.69
2025-11-08 23:51:13,24.79,BB65E0,CDBB8A,16.20,24.875,27.132,708.00
2025-11-08 23:51:14,24.79,BB65B0,CDBAAF,16.18,24.875,27.133,709.49
2025-11-08 23:51:15,24.79,BB65E8,CDBAC6,16.18,24.875,27.127,701.51
2025-11-08 23:51:16,24.80,BB656B,CDBB2A,16.20,24.750,27.128,696.49
2025-11-08 23:51:17,24.79,BB6617,CDBB06,16.19,24.500,27.117,670.47
2025-11-08 23:51:18,24.79,BB65A7,CDBA7D,16.18,24.875,27.130,705.54
2025-11-08 23:51:19,24.80,BB6575,CDBAB6,16.19,24.625,27.129,692.53
2025-11-08 23:51:20,24.79,BB65AF,CDBB36,16.20,24.750,27.130,699.77
2025-11-08 23:51:21,24.79,BB65A5,CDBB20,16.20,24.625,27.131,694.51
2025-11-08 23:51:22,24.79,BB65A6,CDBA68,16.18,24.375,27.128,679.06
2025-11-08 23:51:23,24.79,BB65B5,CDBA30,16.17,24.875,27.133,710.33
2025-11-08 23:51:24,24.79,BB65C1,CDBAA4,16.18,24.750,27.135,706.94
2025-11-08 23:51:25,24.80,BB659A,CDB9F8,16.16,24.750,27.126,694.57
2025-11-08 23:51:26,24.80,BB6585,CDBA58,16.18,24.875,27.130,705.34
2025-11-08 23:51:27,24.79,BB65DD,CDBAB5,16.18,24.875,27.130,705.53
2025-11-08 23:51:28,24.80,BB6523,CDBB0B,16.20,24.750,27.128,697.44
2025-11-08 23:51:29,24.79,BB65AA,CDB9B8,16.16,24.625,27.133,697.12
2025-11-08 23:51:30,24.80,BB6553,CDB9B3,16.16,24.625,27.132,696.46
2025-11-08 23:51:31,24.80,BB652C,CDB94B,16.15,24.750,27.129,698.79
2025-11-08 23:51:32,24.80,BB6529,CDBA58,16.18,24.250,27.134,680.30
2025-11-08 23:51:33,24.80,BB6575,CDBA24,16.17,24.625,27.136,701.70
2025-11-08 23:51:34,24.80,BB6593,CDB987,16.15,24.750,27.135,706.29
2025-11-08 23:51:35,24.80,BB6563,CDB9AF,16.16,24.750,27.129,698.91
2025-11-08 23:51:36,24.81,BB6503,CDB9F9,16.17,24.750,27.136,707.97
2025-11-08 23:51:37,24.80,BB6598,CDB9B3,16.16,24.875,27.129,704.07
2025-11-08 23:51:38,24.80,BB651F,CDBA0B,16.17,24.500,27.130,687.71
2025-11-08 23:51:39,24.80,BB6525,CDBA68,16.18,24.875,27.128,703.25
2025-11-08 23:51:40,24.81,BB6517,CDBA5D,16.18,24.750,27.124,691.05
2025-11-08 23:51:41,24.80,BB6525,CDB8F1,16.14,24.750,27.134,705.12
2025-11-08 23:51:42,24.81,BB64F0,CDB94F,16.16,24.750,27.126,694.23
2025-11-08 23:51:43,24.80,BB653C,CDBA17,16.17,24.500,27.128,683.95
2025-11-08 23:51:44,24.80,BB6552,CDB9AE,16.16,24.750,27.134,704.40
2025-11-08 23:51:45,24.81,BB6512,CDBB0D,16.20,24.750,27.126,694.53
2025-11-08 23:51:46,24.81,BB6502,CDB9A0,16.17,25.000,27.129,710.44
2025-11-08 23:51:47,24.80,BB654A,CDBA9E,16.19,24.750,27.127,695.07
2025-11-08 23:51:48,24.81,BB64F9,CDBA0F,16.18,24.750,27.131,701.55
2025-11-08 23:51:49,24.81,BB64ED,CDBA2C,16.18,24.875,27.133,709.14
2025-11-08 23:51:50,24.81,BB64C5,CDB937,16.16,24.375,27.128,678.78
2025-11-08 23:51:51,24.81,BB64EA,CDBA11,16.18,24.750,27.132,701.69
